"","Score","Potential ScorePerfect: 15","IND 24@NE 38","TEN 12@BUF 13","ATL 17@PIT 41","DEN 16@NYJ 34","JAX 14@KC 30","GB 23@DET 31","BAL 9@CLE 12","NYG 31@CAR 33","MIA 17@CIN 27","OAK 10@LAC 26","AZ 28@SF 18","MN 23@PHI 21","LAR 33@SEA 31","DAL 16@HOU 19","WAS 19@NO 43","Tie BreakerPredictionActual: 62"
"","","click for stats:","","","","","","","","","","","","","","","","[?]"
"tonyppt","12","12","NE","TEN","PIT","DEN","KC","DET","CLE","CAR","CIN","LAC","SF","MN","LAR","HOU","NO","55"
"The Real Slim Brady","12","12","NE","TEN","PIT","DEN","KC","DET","CLE","CAR","MIA","LAC","AZ","MN","LAR","HOU","NO","54"
"Barry from Miami","12","12","NE","TEN","PIT","NYJ","KC","DET","BAL","CAR","CIN","LAC","AZ","PHI","LAR","HOU","NO","53"
"Cramer","12","12","NE","BUF","PIT","NYJ","KC","GB","CLE","CAR","CIN","LAC","SF","PHI","LAR","HOU","NO","51"
"Bill's Mafia","12","12","NE","BUF","PIT","NYJ","JAX","DET","CLE","CAR","CIN","OAK","AZ","PHI","LAR","HOU","NO","41"
"Jaddie's Daddy","11","11","NE","TEN","PIT","NYJ","KC","DET","BAL","CAR","CIN","LAC","SF","PHI","LAR","HOU","NO","55"
"Eggman","11","11","NE","BUF","ATL","NYJ","KC","DET","BAL","CAR","CIN","LAC","SF","PHI","LAR","HOU","NO","55"
"sdtrading","11","11","NE","TEN","PIT","DEN","KC","GB","BAL","CAR","CIN","LAC","AZ","MN","LAR","HOU","NO","55"
"Cold Steel","11","11","NE","BUF","PIT","DEN","JAX","DET","CLE","CAR","CIN","LAC","SF","PHI","LAR","HOU","NO","53"
"Mega Movis Men","11","11","NE","TEN","PIT","DEN","KC","DET","BAL","CAR","CIN","LAC","AZ","PHI","LAR","HOU","NO","52"
"TShelly","11","11","NE","BUF","PIT","DEN","KC","GB","BAL","CAR","CIN","LAC","AZ","PHI","LAR","HOU","NO","52"
"Wentz is Jewish","11","11","NE","BUF","PIT","NYJ","JAX","DET","BAL","CAR","CIN","LAC","AZ","PHI","LAR","DAL","NO","52"
"Fein Men","11","11","NE","TEN","PIT","NYJ","KC","GB","BAL","CAR","CIN","LAC","AZ","PHI","LAR","HOU","NO","48"
"Joe Cell Man","11","11","NE","TEN","PIT","NYJ","KC","DET","BAL","CAR","CIN","LAC","SF","PHI","LAR","HOU","NO","48"
"Keith Swet Tailor","11","11","NE","TEN","PIT","DEN","KC","GB","BAL","CAR","CIN","LAC","AZ","MN","LAR","HOU","NO","47"
"Kosher Dilly Dilly","10","10","NE","BUF","PIT","DEN","KC","GB","BAL","CAR","CIN","LAC","SF","MN","LAR","HOU","WAS","58"
"LARRY SHIVTGERALD","10","10","NE","TEN","ATL","DEN","KC","GB","CLE","CAR","CIN","LAC","AZ","MN","LAR","DAL","NO","57"
"RichieRich$$","10","10","NE","TEN","ATL","NYJ","JAX","DET","CLE","CAR","CIN","LAC","AZ","PHI","LAR","HOU","WAS","56"
"Pioneers85","10","10","NE","TEN","PIT","NYJ","JAX","DET","CLE","NYG","CIN","LAC","SF","PHI","LAR","HOU","NO","55"
"Davs3b","10","10","NE","TEN","PIT","NYJ","KC","GB","BAL","CAR","CIN","LAC","SF","PHI","LAR","HOU","NO","54"
"POOL MEISTER","10","10","NE","TEN","PIT","DEN","KC","DET","BAL","CAR","CIN","LAC","SF","PHI","LAR","HOU","NO","53"
"JustMonkeyinAround","10","10","NE","TEN","ATL","DEN","KC","DET","CLE","CAR","CIN","LAC","AZ","PHI","LAR","DAL","NO","53"
"Torch","10","10","NE","TEN","PIT","NYJ","KC","GB","BAL","CAR","CIN","LAC","SF","PHI","LAR","HOU","NO","52"
"Bag 'n' Shoes","10","10","NE","TEN","ATL","DEN","KC","GB","CLE","CAR","CIN","LAC","AZ","MN","SEA","HOU","NO","52"
"Dr Blue","10","10","NE","TEN","ATL","DEN","KC","DET","CLE","CAR","CIN","OAK","AZ","MN","SEA","HOU","NO","52"
"Perjodi","10","10","NE","TEN","PIT","DEN","KC","GB","CLE","CAR","CIN","LAC","SF","PHI","LAR","HOU","NO","51"
"Teddy","10","10","-","TEN","PIT","NYJ","KC","GB","CLE","CAR","CIN","LAC","SF","PHI","LAR","HOU","NO","51"
"cammax716","10","10","NE","TEN","PIT","DEN","KC","GB","BAL","CAR","CIN","LAC","SF","MN","LAR","HOU","NO","49"
"king","10","10","NE","TEN","PIT","DEN","KC","GB","BAL","CAR","CIN","LAC","AZ","PHI","LAR","HOU","NO","49"
"Friedman's Got Talent","10","10","NE","TEN","PIT","DEN","KC","GB","BAL","CAR","CIN","LAC","SF","MN","LAR","HOU","NO","49"
"Coachjoel57","10","10","NE","BUF","PIT","DEN","KC","GB","BAL","CAR","CIN","LAC","SF","PHI","LAR","HOU","NO","49"
"USMC1125","10","10","NE","TEN","PIT","DEN","KC","DET","BAL","CAR","CIN","LAC","SF","PHI","LAR","HOU","NO","48"
"Giant Blues","10","10","NE","TEN","PIT","DEN","JAX","GB","CLE","NYG","CIN","LAC","AZ","MN","LAR","HOU","NO","47"
"Knead A Win","10","10","NE","TEN","ATL","NYJ","KC","GB","BAL","NYG","CIN","LAC","AZ","MN","LAR","HOU","NO","42"
"Jeff Rosenthal","10","10","NE","TEN","PIT","NYJ","KC","GB","BAL","CAR","CIN","LAC","AZ","PHI","LAR","DAL","NO","37"
"coach1","9","9","NE","TEN","PIT","DEN","KC","GB","BAL","CAR","CIN","LAC","SF","PHI","LAR","HOU","NO","58"
"madbolt","9","9","NE","TEN","ATL","DEN","JAX","DET","CLE","CAR","CIN","LAC","SF","PHI","LAR","HOU","NO","57"
"Alec B","9","9","NE","TEN","PIT","DEN","KC","GB","BAL","CAR","CIN","LAC","SF","PHI","LAR","HOU","NO","57"
"TuesdayMorningQB","9","9","NE","BUF","PIT","DEN","KC","GB","BAL","CAR","CIN","LAC","SF","PHI","LAR","DAL","NO","56"
"Jay's Gramps","9","9","NE","TEN","ATL","DEN","JAX","GB","CLE","CAR","CIN","OAK","AZ","MN","LAR","HOU","NO","54"
"Boldman","9","9","-","TEN","ATL","DEN","KC","GB","CLE","CAR","CIN","LAC","AZ","PHI","LAR","HOU","NO","54"
"HEADLY IV","9","9","NE","TEN","ATL","DEN","KC","GB","BAL","CAR","CIN","LAC","SF","MN","LAR","HOU","NO","53"
"Pauly12","9","9","NE","TEN","PIT","DEN","KC","GB","BAL","CAR","CIN","LAC","SF","PHI","LAR","HOU","NO","53"
"Petvet","9","9","NE","TEN","PIT","DEN","KC","GB","BAL","CAR","CIN","LAC","SF","PHI","LAR","HOU","NO","52"
"Maven","9","9","NE","TEN","ATL","NYJ","KC","GB","BAL","CAR","CIN","LAC","SF","PHI","LAR","HOU","NO","51"
"HAPPY NESS","9","9","NE","TEN","PIT","NYJ","KC","GB","CLE","NYG","MIA","LAC","SF","PHI","LAR","HOU","NO","51"
"Nugget2018","9","9","NE","TEN","PIT","NYJ","KC","GB","BAL","CAR","CIN","LAC","SF","PHI","SEA","HOU","NO","51"
"$man","9","9","NE","TEN","ATL","DEN","JAX","GB","CLE","CAR","CIN","LAC","SF","MN","LAR","HOU","NO","51"
"Jerry1229","9","9","NE","TEN","ATL","DEN","KC","GB","BAL","CAR","CIN","LAC","AZ","PHI","LAR","HOU","NO","51"
"West Coast Eagles Fan","9","9","NE","TEN","ATL","DEN","KC","GB","BAL","CAR","CIN","LAC","AZ","PHI","LAR","HOU","NO","50"
"egever","9","9","NE","BUF","ATL","NYJ","JAX","GB","BAL","CAR","CIN","LAC","SF","PHI","LAR","HOU","NO","50"
"jtyler15","9","9","NE","TEN","ATL","DEN","KC","DET","BAL","CAR","CIN","LAC","AZ","PHI","LAR","DAL","NO","49"
"BADBOYBILLY","9","9","NE","TEN","PIT","DEN","KC","GB","BAL","CAR","CIN","LAC","SF","PHI","LAR","HOU","NO","49"
"Z-Man","9","9","NE","TEN","PIT","DEN","KC","GB","BAL","CAR","CIN","LAC","SF","PHI","LAR","HOU","NO","49"
"j3live","9","9","NE","TEN","ATL","NYJ","JAX","GB","BAL","CAR","CIN","LAC","AZ","PHI","LAR","HOU","NO","48"
"StamfordPhil","9","9","NE","TEN","PIT","DEN","KC","GB","BAL","CAR","CIN","LAC","SF","PHI","LAR","HOU","NO","47"
"West Coast Best Coast","9","9","NE","TEN","ATL","DEN","KC","GB","BAL","CAR","CIN","LAC","SF","MN","LAR","HOU","NO","44"
"Team Rovner","9","9","NE","TEN","PIT","DEN","KC","DET","CLE","NYG","CIN","LAC","SF","PHI","LAR","HOU","WAS","44"
"GKAT28","9","9","NE","TEN","PIT","DEN","JAX","DET","BAL","CAR","CIN","LAC","SF","PHI","LAR","HOU","NO","44"
"JMenacker","9","9","NE","TEN","PIT","DEN","KC","GB","BAL","CAR","CIN","LAC","SF","PHI","LAR","HOU","NO","42"
"Sparky","9","9","NE","TEN","ATL","DEN","KC","GB","BAL","CAR","CIN","LAC","AZ","PHI","LAR","HOU","NO","42"
"Larry1223","9","9","NE","TEN","PIT","DEN","KC","GB","BAL","CAR","CIN","LAC","SF","PHI","LAR","HOU","NO","40"
"Dorf","9","9","NE","TEN","PIT","DEN","KC","GB","BAL","CAR","CIN","LAC","AZ","PHI","LAR","DAL","NO","36"
"tnrosen","9","9","NE","BUF","ATL","DEN","KC","GB","BAL","CAR","CIN","LAC","SF","PHI","LAR","HOU","NO","35"
"Jack","9","9","NE","TEN","PIT","DEN","KC","GB","BAL","CAR","CIN","LAC","SF","PHI","LAR","HOU","NO","28"
"stanley steamer","9","9","NE","TEN","ATL","DEN","KC","GB","CLE","CAR","CIN","LAC","SF","PHI","LAR","HOU","NO","0"
"MSE-PA","8","8","NE","TEN","PIT","DEN","KC","GB","BAL","CAR","CIN","LAC","SF","PHI","LAR","DAL","NO","56"
"SuperBowl 52 Champs","8","8","NE","TEN","PIT","DEN","KC","GB","BAL","CAR","CIN","LAC","SF","PHI","LAR","DAL","NO","54"
"Saquads Scores!","8","8","NE","TEN","ATL","NYJ","JAX","GB","BAL","NYG","CIN","LAC","AZ","MN","LAR","DAL","NO","52"
"Slugger53","8","8","NE","TEN","ATL","DEN","JAX","DET","BAL","CAR","CIN","LAC","SF","PHI","LAR","HOU","NO","50"
"howarddmd","8","8","NE","TEN","ATL","DEN","KC","DET","BAL","CAR","CIN","LAC","SF","PHI","LAR","DAL","NO","48"
"Dental Plan","8","8","NE","TEN","ATL","DEN","KC","GB","BAL","CAR","CIN","LAC","SF","MN","LAR","DAL","NO","48"
"El Presidente","8","8","NE","TEN","ATL","DEN","KC","GB","BAL","CAR","CIN","LAC","SF","PHI","LAR","HOU","NO","48"
"Used to be BristolDr","8","8","NE","TEN","PIT","DEN","KC","GB","BAL","CAR","CIN","LAC","SF","PHI","LAR","DAL","NO","48"
"Art","8","8","NE","TEN","ATL","DEN","KC","GB","BAL","CAR","CIN","LAC","SF","PHI","LAR","HOU","NO","45"
"Digital Jim","8","8","NE","TEN","PIT","DEN","KC","GB","BAL","CAR","CIN","LAC","SF","PHI","LAR","DAL","NO","45"
"HayMadEm","8","8","NE","TEN","PIT","DEN","KC","GB","BAL","CAR","CIN","OAK","AZ","PHI","LAR","DAL","NO","45"
"speedy","8","8","NE","TEN","ATL","DEN","KC","GB","CLE","NYG","CIN","LAC","SF","PHI","LAR","HOU","NO","43"
"Twinkletoes","8","8","NE","TEN","PIT","DEN","KC","GB","BAL","CAR","CIN","LAC","SF","MN","SEA","DAL","NO","42"
"Fire Goodell","8","8","NE","TEN","ATL","DEN","KC","GB","CLE","CAR","MIA","LAC","AZ","PHI","LAR","HOU","WAS","42"
"GeveandSteveandStella","8","8","NE","TEN","ATL","DEN","KC","GB","BAL","NYG","CIN","LAC","AZ","PHI","LAR","HOU","NO","41"
"GEO DOG","7","7","NE","TEN","ATL","DEN","KC","GB","BAL","CAR","CIN","LAC","AZ","PHI","SEA","DAL","NO","48"
"Go Pats!!!","7","7","NE","TEN","PIT","DEN","KC","GB","BAL","-","CIN","LAC","SF","PHI","LAR","DAL","NO","43"
"Mark_W","7","7","NE","TEN","ATL","DEN","KC","GB","CLE","NYG","CIN","LAC","SF","PHI","SEA","HOU","NO","43"
"Chess Doc","7","7","NE","TEN","ATL","NYJ","KC","GB","BAL","CAR","CIN","LAC","SF","PHI","SEA","HOU","WAS","42"
"Brubabe","7","7","NE","TEN","PIT","DEN","JAX","GB","BAL","CAR","CIN","LAC","SF","PHI","LAR","DAL","NO","40"
"Sophie's Last Choice","6","6","NE","TEN","ATL","DEN","KC","GB","BAL","CAR","CIN","OAK","AZ","PHI","LAR","DAL","WAS","53"
"They Might Be Giants!","6","6","NE","TEN","ATL","DEN","JAX","GB","BAL","NYG","CIN","OAK","AZ","PHI","LAR","HOU","NO","53"
"Lucky Laits","6","6","NE","BUF","PIT","NYJ","JAX","GB","CLE","NYG","MIA","OAK","SF","PHI","SEA","DAL","NO","49"
